JobID|JobName|ReqCPUS|ReqMem|Timelimit|State|ExitCode|Start|Elapsed|CPUTimeRAW|MaxRSS|MaxVMSize|NodeList
23329085_1.0|ERR6913191|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:15|11|22|1244K|352628K|cpu-node-2
23329085_2.0|ERR6913187|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:15|3|6|1236K|352628K|cpu-node-2
23329085_3.0|ERR6913283|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:15|15|30|1056K|287092K|cpu-node-2
23329085_4.0|ERR6913284|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:15|199|398|22184K|716052K|cpu-node-54
23329085_5.0|ERR6913287|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:15|196|392|20420K|716052K|cpu-node-54
23329085_6.0|ERR6913188|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:16|142|284|21916K|716308K|cpu-node-51
23329085_7.0|ERR6913190|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:16|166|332|21976K|716308K|cpu-node-51
23329085_8.0|ERR6913286|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:15|279|558|25132K|716308K|cpu-node-51
23329085_9.0|ERR6913303|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:16|204|408|21968K|716052K|cpu-node-51
23329085_10.0|ERR6913119|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:16|56|112|19896K|716052K|cpu-node-51
23329085_11.0|ERR6913120|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:16|2|4|1240K|352620K|cpu-node-51
23329085_12.0|ERR6913216|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:16|0|0|1236K|287084K|cpu-node-51
23329085_13.0|ERR6913215|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:15|1|2|1232K|352620K|cpu-node-51
23329085_14.0|ERR6913332|2|5Gn||COMPLETED|0:0|2022-06-15T09:59:16|211|422|20316K|716308K|cpu-node-51
